module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Surface   	input  	Fuel Models                         	Special Case                     	Western Aspen                          	 Surface Fuel & Understory Vegetation    	                       	Surface Fuel & Understory Vegetation    	SIGSurface     	setAspenFuelModelNumber                                   	aspenFuelModelNumber                  	
Surface   	input  	Fuel Models                         	Special Case                     	Western Aspen                          	 Multiple Fuel Models                    	                       	Multiple Fuel Models                    	SIGSurface     	setTwoFuelModelsMethod                                    	twoFuelModelsMethod                   	
Surface   	input  	Fuel Moisture                       	Moisture Input Mode              	                                       	                                         	                       	Moisture Input Mode                     	SIGSurface     	setMoistureInputMode                                      	moistureInputMode                     	
Surface   	input  	Size                                	Elapsed Time                     	                                       	                                         	                       	Elapsed Time                            	SIGSurface     	setElapsedTime                                            	elapsedTime                           	
Surface   	input  	Spot                                	Canopy Fuel                      	Downwind Canopy Height                 	                                         	                       	Downwind Canopy Height                  	SIGSpot        	setDownwindCoverHeight                                    	downwindCoverHeight                   	
Surface   	input  	Spot                                	Canopy Fuel                      	Downwind Canopy Cover                  	                                         	                       	Downwind Canopy Cover                   	SIGSpot        	setDownwindCanopyMode                                     	downwindCanopyMode                    	
Surface   	input  	Spot                                	Torching Trees                   	Torching Tree Height                   	                                         	                       	Torching Tree Height                    	SIGSpot        	setTreeHeight                                             	double treeHeight                     	
Surface   	input  	Spot                                	Torching Trees                   	Torching Tree Species                  	                                         	                       	Torching Tree Species                   	SIGSpot        	setTreeSpecies                                            	treeSpecies                           	
Surface   	input  	Spot                                	Torching Trees                   	DBH (Diameter at Breast Height)        	                                         	                       	DBH (Diameter at Breast Height)         	SIGSpot        	setDBH                                                    	DBH                            	
Surface   	input  	Spot                                	Torching Trees                   	Number of Torching Trees Numeric Value 	                                         	                       	Number of Torching Trees Numeric Value  	SIGSpot        	setTorchingTrees                                          	torchingTrees                     	
Surface   	input  	Spot                                	Topography                       	Ridge-to-Valley Elevation Difference   	                                         	                       	Ridge-to-Valley Elevation Difference    	SIGSpot        	setRidgeToValleyElevation                                 	ridgeToValleyElevation                	
Surface   	input  	Spot                                	Topography                       	Ridge-to-Valley Horizontal Distance    	                                         	                       	Ridge-to-Valley Horizontal Distance     	SIGSpot        	setRidgeToValleyDistance                                  	ridgeToValleyDistance                 	
Surface   	input  	Spot                                	Topography                       	Spott List Source Location             	                                         	                       	Spott List Source Location              	SIGSpot        	setLocation                                               	location                              	
Surface   	input  	Wind Speed                          	Wind Speed                       	                                       	                                         	                       	Wind Speed                              	SIGSurface     	setWindSpeed                                              	windSpeed                             	
Surface   	input  	Wind Speed                          	Wind Height                      	                                       	                                         	                       	Wind Height                             	SIGSurface     	setWindHeightInputMode                                    	windHeightInputMode                   	
Surface   	input  	Wind Speed                          	Wind and slope are               	                                       	                                         	                       	Wind and Slope Alignment Mode           	SIGSurface     	setWindUpslopeAlignmentMode                               	windUpslopeAlignmentMode              	
Mortality 	output 	Scorch                              	Scorch Height                    	                                       	                                         	                       	Scorch Height                           	SIGMortality   	getFlameLengthOrScorchHeightValue                         	                                      	
Mortality 	output 	Tree Mortality                      	Probability of Mortality         	                                       	                                         	                       	Probability of Mortality                	SIGMortality   	getProbabilityOfMortality                                 	                                      	
Mortality 	output 	Tree Mortality                      	Bark Thickness                   	                                       	                                         	                       	Bark Thickness                          	SIGMortality   	getBarkThickness                                          	                                      	
Mortality 	output 	Tree Mortality                      	Tree Crown Length Scorched       	                                       	                                         	                       	Tree Crown Length Scorched              	SIGMortality   	getTreeCrownLengthScorched                                	                                      	
Mortality 	output 	Tree Mortality                      	Tree Crown Volume Scorched       	                                       	                                         	                       	Tree Crown Volume Scorched              	SIGMortality   	getTreeCrownVolumeScorched                                	                                      	
Mortality 	input  	Fuel/Vegetation, Overstory          	Mortality Tree Species           	                                       	                                         	                       	Mortality Tree Species                  	SIGMortality   	setSpeciesCode                                            	speciesCode                           	
Mortality 	input  	Fuel/Vegetation, Overstory          	Canopy Height                    	                                       	                                         	                       	Canopy Height                           	SIGMortality   	setTreeHeight                                             	treeHeight                            	
Mortality 	input  	Fuel/Vegetation, Overstory          	Crown Ratio                      	                                       	                                         	                       	Crown Ratio                             	SIGMortality   	setCrownRatio                                             	crownRatio                            	
Mortality 	input  	Fuel/Vegetation, Overstory          	DBH                              	Diameter at Breast Height)             	                                         	                       	DBH (Diameter at Breast Height)         	SIGMortality   	setDBH                                                    	dbh                                   	
Mortality 	input  	Scorch                              	Fire                             	Surface Fire Flame Length              	                                         	                       	Surface Fire Flame Length               	SIGMortality   	setSurfaceFireFlameLength                                 	value                                 	
Mortality 	input  	Scorch                              	Fire                             	Scorch Height                          	                                         	                       	Scorch Height                           	SIGMortality   	setSurfaceFireFlameLength                                 	value                                 	
Mortality 	input  	Scorch                              	Fire                             	Surface Fireline Intensity             	                                         	                       	Surface Fireline Intensity              	SIGMortality   	setFirelineIntensity                                      	firelineIntensity                     	
Mortality 	input  	Scorch                              	Weather                          	Midflame Wind Speed                    	                                         	                       	Midflame Wind Speed                     	SIGMortality   	setMidFlameWindSpeed                                      	midFlameWindSpeed                     	
Mortality 	input  	Scorch                              	Weather                          	Air Temperature                        	                                         	                       	Air Temperature                         	SIGMortality   	setAirTemperature                                         	airTemperature                        	
