module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Crown     	input  	Spotting                            	Fire Behavior                    	Active Crown Flame Length              	                                         	                       	Active Crown Flame Length               	SIGSpot        	setFlameLength                                            	flameLength                    	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Heading                                	 Heading Rate of Spread                  	                       	Heading Rate of Spread                  	SIGSurface     	getSpreadRate                                             	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Heading                                	 Heading Flame Length                    	                       	Heading Flame Length                    	SIGSurface     	getFlameLength                                            	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Heading                                	 Heading Spread Distance                 	                       	Heading Spread Distance                 	SIGSurface     	getSpreadDistance                                         	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Heading                                	 Heading Fireline Intensity              	                       	Heading Fireline Intensity              	SIGSurface     	getFirelineIntensity                                      	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Flanking                               	 Flanking Rate of Spread                 	                       	Flanking Rate of Spread                 	SIGSurface     	getFlankingSpreadRate                                     	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Flanking                               	 Flanking Flame Length                   	                       	Flanking Flame Length                   	SIGSurface     	getFlankingFlameLength                                    	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Flanking                               	 Flanking Spread Distance                	                       	Flanking Spread Distance                	SIGSurface     	getFlankingSpreadDistance                                 	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Flanking                               	 Flanking Fireline Intensity             	                       	Flanking Fireline Intensity             	SIGSurface     	getFlankingFirelineIntensity                              	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Backing                                	 Backing Rate of Spread                  	                       	Backing Rate of Spread                  	SIGSurface     	getBackingSpreadRate                                      	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Backing                                	 Backing Flame Length                    	                       	Backing Flame Length                    	SIGSurface     	getBackingFlameLength                                     	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Backing                                	 Backing Spread Distance                 	                       	Backing Spread Distance                 	SIGSurface     	getBackingSpreadDistance                                  	                                      	
