behaveplus:24_hour_clock,24-hour clock
behaveplus:select_graph_results,Select graph results
behaveplus:select_range,Select Range
behaveplus:select_the_row_variable,Select the row variable
behaveplus:select_units,Select units:
behaveplus:selecting_axis,Selecting Axis
behaveplus:selection,Selection
behaveplus:settings,Settings
behaveplus:share,Share
behaveplus:skip,Skip
behaveplus:steps,Steps
behaveplus:suppression,Suppression
behaveplus:suppression_inputs,Suppression Inputs
behaveplus:suppression_tactic,Suppression Tactic
behaveplus:surface,Surface
behaveplus:surface_and_contain,Surface & Contain
behaveplus:surface_and_crown,Surface & Crown
behaveplus:surface_and_mortality,Surface & Mortality
behaveplus:surface_module_options,Surface Module Options
behaveplus:surface_only,Surface Only
behaveplus:surface_rate_of_spread,Surface Rate of Spread
behaveplus:surface_rate_of_spread_maximum,Surface Rate of Spread (maximum)
behaveplus:s_map_units,%s Map Units
behaveplus:s_map_units_(s),%s Map Units (%s)
behaveplus:table,Table
behaveplus:tables,Tables
behaveplus:tables_selections,Tables Selections
behaveplus:tables_for_d_multi_valued_inputs_are_not_supported,Tables for (%d) Multi Valued Inputs are not supported
behaveplus:table_shading_filters,Table Shading Filters
behaveplus:result_settings, Result Settings
behaveplus:thru,Thru
behaveplus:time,Time
behaveplus:time_from_report,Time from Report
behaveplus:tip,Tip
behaveplus:to,To
behaveplus:tools,Tools
behaveplus:tools_and_settings,Tools & Settings
behaveplus:two_input_variables_have_multiple_values,Two input variables have multiple values.
behaveplus:type_description,Type Description
behaveplus:units,Units
behaveplus:units_used,Units used:
behaveplus:value,Value
behaveplus:values,Values
behaveplus:variable,Variable
behaveplus:viewing_graphs,Viewing Graphs
behaveplus:viewing_tables,Viewing Tables
behaveplus:warn_input_limit,Number of inputs with a range of values exceeded the allowed limit (%d/%d), Please remove some.
behaveplus:welcome_message,Welcome to BehavePlus 7.0
behaveplus:work_style,Work Style
behaveplus:working_area,Working Area
behaveplus:worksheet,Worksheet
behaveplus:worksheet_review,Worksheet Review
behaveplus:worksheet_templates,Worksheet Templates
behaveplus:y_axis_maximum,Y Axis Maximum
behaveplus:y_axis_minimum,Y Axis Minimum
behaveplus:you_can_add_up_to_10_resources,You can add up to 10 resources.
behaveplus:you_can_edit_andor_delete_resources,You can edit and/or delete resources
